encoder,method,budget,configurations,merged_reff_mean,merged_reff_std,unique_lineages_mean,lineage_duplicate_count_mean,unique_datasets_mean,selected_alias_parent_pairs_mean,max_selected_sample_overlap_mean,selection_seconds_for_max_budget_mean,metric_seconds_mean
clip_b32,agglomerative_subspace,3,60,239.8931132140002,1.2718644764549498,2.9166666666666665,0.08333333333333333,1.0,0.16666666666666666,0.008333333333333333,0.05829589959854881,0.05004732764015595
clip_b32,agglomerative_subspace,5,60,257.65092388536107,1.21973194740525,4.866666666666666,0.13333333333333333,1.7333333333333334,0.2833333333333333,0.013333333333333334,0.05829589959854881,0.043363547914971906
clip_b32,agglomerative_subspace,8,60,283.0944506069516,1.4060227754913193,7.866666666666666,0.13333333333333333,3.0,0.2833333333333333,0.013333333333333334,0.05829589959854881,0.047691088542342185
clip_b32,agglomerative_subspace,10,60,280.4157771428588,1.3325875592622405,9.866666666666667,0.13333333333333333,5.0,0.2833333333333333,0.013333333333333334,0.05829589959854881,0.05299273518224557
clip_b32,collapse_sketch,3,60,240.8376059038187,10.469057385691547,2.3833333333333333,0.6166666666666667,1.0,0.6833333333333333,0.35006666666666664,0.22348806948090594,0.04921796601265669
clip_b32,collapse_sketch,5,60,262.65658303897163,3.0532752001400145,4.166666666666667,0.8333333333333334,1.0,1.0,0.43333333333333335,0.22348806948090594,0.043049246942003565
clip_b32,collapse_sketch,8,60,283.0861126991579,1.546095146308687,7.166666666666667,0.8333333333333334,3.0,1.0,0.43333333333333335,0.22348806948090594,0.04718755961706241
clip_b32,collapse_sketch,10,60,286.80695303844357,1.200381841555719,9.033333333333333,0.9666666666666667,3.0,1.2,0.43333333333333335,0.22348806948090594,0.05292469523847103
clip_b32,dpp_subspace,3,60,257.6662318727205,0.6233809841675112,3.0,0.0,3.0,0.0,0.0,0.00844434971610705,0.05011909920722246
clip_b32,dpp_subspace,5,60,276.39029486137,0.6816944622486494,5.0,0.0,3.0,0.03333333333333333,0.0,0.00844434971610705,0.042547753639519216
clip_b32,dpp_subspace,8,60,284.80836350179015,0.7879595393758395,7.95,0.05,3.0,0.2,0.005000000000000001,0.00844434971610705,0.047858839575201276
clip_b32,dpp_subspace,10,60,287.19353237842716,0.6080145989135285,9.85,0.15,3.0,0.43333333333333335,0.019933333333333338,0.00844434971610705,0.05280205983047684
clip_b32,facility_subspace,3,60,203.3370300363259,1.6020134144255114,3.0,0.0,3.0,0.0,0.0,0.0016212327405810355,0.04991640578955412
clip_b32,facility_subspace,5,60,254.5886633958841,1.0030326329378285,5.0,0.0,5.0,0.0,0.0,0.0016212327405810355,0.042892181252439814
clip_b32,facility_subspace,8,60,272.4766017296983,2.319132642384236,7.983333333333333,0.016666666666666666,5.0,0.13333333333333333,0.0016666666666666668,0.0016212327405810355,0.048089500361432634
clip_b32,facility_subspace,10,60,279.7424017989961,2.201505052886902,9.85,0.15,5.0,0.3,0.01746666666666667,0.0016212327405810355,0.05315611064434052
clip_b32,lineage_deduplicated_rank,3,60,250.02188180934553,0.897050240019029,3.0,0.0,1.0,0.08333333333333333,0.0,3.361208364367485e-05,0.05064627521981795
