alpha_target,gamma_target,repeat,alpha_actual,gamma_actual,r_eff_A,r_eff_B,r_eff_dominant,r_eff_subordinate,r_eff_merged,r_eff_ideal,collapse_ratio,delta_r,is_superadditive,nuclear_A,nuclear_B,q,r_pred_theory,pred_error,dominant_cause
0.0,0.1,0,8.99622517337566e-31,0.09999999999999999,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.89598458065493,73.58576622904738,0.32193429330686374,13.103101466131243,True,31.622776601683796,3.1622776601683795,0.9090909090909091,49.895984580654954,2.1316282072803006e-14,energy
0.0,0.1,1,7.550325584090768e-31,0.1,36.79288311452369,36.792883114523676,36.79288311452369,36.792883114523676,49.89598458065493,73.58576622904737,0.32193429330686363,13.103101466131243,True,31.62277660168379,3.162277660168379,0.9090909090909091,49.895984580654954,2.1316282072803006e-14,energy
0.0,0.1,2,1.161000965598198e-30,0.09999999999999998,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.895984580654954,73.58576622904738,0.32193429330686346,13.103101466131264,True,31.622776601683796,3.162277660168379,0.9090909090909091,49.895984580654954,0.0,energy
0.0,0.1,3,8.631847703101663e-31,0.09999999999999996,36.792883114523676,36.79288311452369,36.792883114523676,36.79288311452369,49.89598458065493,73.58576622904737,0.32193429330686363,13.103101466131257,True,31.622776601683803,3.162277660168379,0.9090909090909091,49.89598458065493,0.0,energy
0.0,0.1,4,8.277382616050813e-31,0.10000000000000003,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.89598458065491,73.58576622904738,0.321934293306864,13.103101466131221,True,31.622776601683782,3.162277660168379,0.9090909090909091,49.895984580654954,4.263256414560601e-14,energy
0.0,0.33,0,8.968703222900407e-31,0.3299999999999999,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,64.42907967277307,73.58576622904738,0.124435567168964,27.63619655824938,True,31.622776601683796,10.43551627855565,0.7518796992481203,64.42907967277307,0.0,energy
0.0,0.33,1,8.95649122860108e-31,0.32999999999999985,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,64.42907967277301,73.58576622904738,0.12443556716896478,27.636196558249324,True,31.6227766016838,10.43551627855565,0.7518796992481204,64.42907967277307,5.684341886080802e-14,energy
0.0,0.33,2,7.4770573455302555e-31,0.33000000000000007,36.792883114523676,36.792883114523654,36.792883114523676,36.792883114523654,64.42907967277307,73.58576622904732,0.12443556716896334,27.636196558249395,True,31.622776601683793,10.435516278555653,0.7518796992481203,64.42907967277307,0.0,superadditive
0.0,0.33,3,9.064735551426411e-31,0.3300000000000002,36.792883114523676,36.792883114523676,36.792883114523676,36.792883114523676,64.42907967277307,73.58576622904735,0.12443556716896367,27.636196558249395,True,31.622776601683782,10.435516278555653,0.7518796992481201,64.42907967277307,0.0,superadditive
0.0,0.33,4,8.955700883358e-31,0.32999999999999996,36.79288311452369,36.792883114523676,36.79288311452369,36.792883114523676,64.42907967277301,73.58576622904737,0.12443556716896462,27.636196558249324,True,31.622776601683796,10.435516278555651,0.7518796992481203,64.42907967277307,5.684341886080802e-14,energy
