dataset,encoder,target_domain,budget,method,repeat,selected,selected_sample_count,selected_sample_ids_sha256,target_test_count,ridge_regularization,ridge_solver,evaluation_seconds,evaluation_cache_hit,squared_loss,brier_score,nll,accuracy,macro_f1,ece
office_home,dinov2_b14,Art,1,random,10,Clipart__block_02,1059,7ebecc20ff1314edddc0f696bae3e2d7e358fad3c43b8b111de38be619847a4e,1686,1.0,primal,0.12572388350963593,1,0.5893249253778031,0.9696061948124328,3.7982544352934045,0.7544483985765125,0.6988377792240376,0.7308968423981707
office_home,dinov2_b14,Art,1,random,11,Clipart__block_02,1059,7ebecc20ff1314edddc0f696bae3e2d7e358fad3c43b8b111de38be619847a4e,1686,1.0,primal,0.12572388350963593,1,0.5893249253778031,0.9696061948124328,3.7982544352934045,0.7544483985765125,0.6988377792240376,0.7308968423981707
office_home,dinov2_b14,Art,1,random,12,Clipart__block_00,1125,27b326681c1d882ddb44e3e0319c441dae5d538978595707a5110d8e72cacbd0,1686,1.0,primal,0.09631704352796078,0,0.598326705902017,0.9695016586621142,3.798259827867395,0.7479240806642942,0.6969169057143892,0.724302624268505
office_home,dinov2_b14,Art,1,random,13,Product__block_02,1121,c822aa8a4f79eecc19a26d2a6156da6ac19aea26b54feb72b745d99537b4bad8,1686,1.0,primal,0.10030457936227322,1,0.6122626485226179,0.9706711129377736,3.8230517830303206,0.7431791221826809,0.6979563285260078,0.7201181233369609
office_home,dinov2_b14,Art,1,random,14,Clipart__block_02,1059,7ebecc20ff1314edddc0f696bae3e2d7e358fad3c43b8b111de38be619847a4e,1686,1.0,primal,0.12572388350963593,1,0.5893249253778031,0.9696061948124328,3.7982544352934045,0.7544483985765125,0.6988377792240376,0.7308968423981707
office_home,dinov2_b14,Art,1,random,15,Real World__block_01,1065,6d63d4a153541ac317ee693098c26eaac6fb3750adcce9f999a1a60f718aacbc,1686,1.0,primal,0.09500923939049244,0,0.5038446604710765,0.9659668082394959,3.729637841737306,0.7977461447212337,0.7590045452601117,0.7724013244636273
office_home,dinov2_b14,Art,1,random,16,Product__block_02,1121,c822aa8a4f79eecc19a26d2a6156da6ac19aea26b54feb72b745d99537b4bad8,1686,1.0,primal,0.10030457936227322,1,0.6122626485226179,0.9706711129377736,3.8230517830303206,0.7431791221826809,0.6979563285260078,0.7201181233369609
office_home,dinov2_b14,Art,1,random,17,Real World__block_00,1050,69a64348e87c0fc1fdc38432b8a51f9c425eb6a2b8ef6953612dad3b691d3961,1686,1.0,primal,0.09897449426352978,0,0.49614127707268635,0.9658456579240652,3.725642442828814,0.7912218268090154,0.7521549976344737,0.7657732099074415
office_home,dinov2_b14,Art,1,random,18,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,1,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
office_home,dinov2_b14,Art,1,random,19,Real World__block_00,1050,69a64348e87c0fc1fdc38432b8a51f9c425eb6a2b8ef6953612dad3b691d3961,1686,1.0,primal,0.09897449426352978,1,0.49614127707268635,0.9658456579240652,3.725642442828814,0.7912218268090154,0.7521549976344737,0.7657732099074415
office_home,dinov2_b14,Art,1,second_moment_mmd,-1,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,1,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
office_home,dinov2_b14,Art,1,size,-1,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,1,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
office_home,dinov2_b14,Art,1,spectrum_rank_l,-1,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,1,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
office_home,dinov2_b14,Art,1,target_a,-1,Real World__block_03,1147,c2b19e01e7ee4c1cbb1fbf439abefeb09b94b00a021babbb71c4c34d2f7bb566,1686,1.0,primal,0.135760847479105,1,0.4861212739381178,0.9654179079176908,3.7172546150065986,0.8208778173190985,0.776574230294665,0.7953624860278253
office_home,dinov2_b14,Art,1,target_energy,-1,Clipart__block_00,1125,27b326681c1d882ddb44e3e0319c441dae5d538978595707a5110d8e72cacbd0,1686,1.0,primal,0.09631704352796078,1,0.598326705902017,0.9695016586621142,3.798259827867395,0.7479240806642942,0.6969169057143892,0.724302624268505
office_home,dinov2_b14,Art,3,bayesian_d,-1,Clipart__block_00|Real World__block_02|Real World__block_03,3358,b92eb4e65a0b26433da14ad92c72a7f477aba620f47a0ba8ec769da8c8148c43,1686,1.0,primal,0.10581536404788494,0,0.4631861273115832,0.9615708963419488,3.6471491168023755,0.8214709371293001,0.7851632077643165,0.7938631463132414
office_home,dinov2_b14,Art,3,collapse_4s,-1,Clipart__block_00|Product__block_00|Real World__block_03,3414,274d2d3f2090ccc8a7714576d23fa7a4f83712633578ea10b9e7aac3a228e391,1686,1.0,primal,0.10354804992675781,0,0.4777993061185736,0.9622467019119075,3.6585839984655246,0.8208778173190985,0.7839093632071965,0.7936479381707036
office_home,dinov2_b14,Art,3,domain_balance,-1,Clipart__block_00|Product__block_00|Real World__block_03,3414,274d2d3f2090ccc8a7714576d23fa7a4f83712633578ea10b9e7aac3a228e391,1686,1.0,primal,0.10354804992675781,1,0.4777993061185736,0.9622467019119075,3.6585839984655246,0.8208778173190985,0.7839093632071965,0.7936479381707036
office_home,dinov2_b14,Art,3,dpp_subspace,-1,Clipart__block_00|Product__block_00|Real World__block_03,3414,274d2d3f2090ccc8a7714576d23fa7a4f83712633578ea10b9e7aac3a228e391,1686,1.0,primal,0.10354804992675781,1,0.4777993061185736,0.9622467019119075,3.6585839984655246,0.8208778173190985,0.7839093632071965,0.7936479381707036
office_home,dinov2_b14,Art,3,effective_rank,-1,Clipart__block_00|Real World__block_02|Real World__block_03,3358,b92eb4e65a0b26433da14ad92c72a7f477aba620f47a0ba8ec769da8c8148c43,1686,1.0,primal,0.10581536404788494,1,0.4631861273115832,0.9615708963419488,3.6471491168023755,0.8214709371293001,0.7851632077643165,0.7938631463132414
office_home,dinov2_b14,Art,3,facility_subspace,-1,Clipart__block_01|Product__block_01|Real World__block_02,3262,4cbaa9340515f1575e8d54fe0c8dc4a0a8eee15efd0e2b2f887cf67b2e186425,1686,1.0,primal,0.10150608234107494,0,0.4768507222049625,0.9620841265716514,3.654708302701561,0.8214709371293001,0.7965572711670893,0.7940715278916473
office_home,dinov2_b14,Art,3,kcenter_subspace,-1,Clipart__block_00|Product__block_00|Real World__block_03,3414,274d2d3f2090ccc8a7714576d23fa7a4f83712633578ea10b9e7aac3a228e391,1686,1.0,primal,0.10354804992675781,1,0.4777993061185736,0.9622467019119075,3.6585839984655246,0.8208778173190985,0.7839093632071965,0.7936479381707036
office_home,dinov2_b14,Art,3,random,0,Clipart__block_01|Clipart__block_03|Product__block_01,3280,b18f88f4383ed022d56302a09839cc8fbafafadbef8eeebe77e58fe90d5c92c8,1686,1.0,primal,0.10326394811272621,0,0.5234444901178392,0.9637465834035472,3.683928529459289,0.8137603795966786,0.7735259824362702,0.7872296610213958
office_home,dinov2_b14,Art,3,random,1,Clipart__block_01|Product__block_00|Product__block_01,3318,934fc606144af47737c6ba24f80a36219c3722b0737fa5fcc5701a7e4dd4598c,1686,1.0,primal,0.10231159627437592,0,0.5261642221736006,0.9642209914126373,3.6941754130330406,0.806049822064057,0.764753472334726,0.7797198047086482
office_home,dinov2_b14,Art,3,random,2,Product__block_03|Real World__block_00|Real World__block_02,3213,3a02770203ce8b36cb2210c5ddfcd700ce3f5c8c22f35dd840e5f6c209a5fce7,1686,1.0,primal,0.10213395580649376,0,0.47087433226827663,0.9623835447522614,3.6617896002867325,0.8208778173190985,0.7865680595118468,0.7936633313333388
office_home,dinov2_b14,Art,3,random,3,Clipart__block_00|Product__block_03|Real World__block_02,3288,6ece2afa2d0ac84d4b59af2293a17e0ab556d699d10e4bc087d1ebbbc2c2c234,1686,1.0,primal,0.10009829699993134,0,0.48021107914515343,0.9623019290778523,3.6600977954626868,0.8143534994068802,0.7839318852733435,0.7870950024646491
office_home,dinov2_b14,Art,3,random,4,Clipart__block_02|Clipart__block_03|Product__block_00,3305,3cdc670c1ed57047c6e3b166d736cb99fc63553dbe2dc798ce06576b46e91941,1686,1.0,primal,0.09557428397238255,0,0.5269175836153419,0.963962637009797,3.6889721820216956,0.8119810201660735,0.7638204352343344,0.7855577985723514
office_home,dinov2_b14,Art,3,random,5,Clipart__block_02|Clipart__block_03|Real World__block_03,3310,f4dc835fdf5785d34228f067616c2aa0e9e3c56079851f07a2942bc3859683df,1686,1.0,primal,0.10138919949531555,0,0.4825510063642072,0.9622500306897956,3.657609581000769,0.8214709371293001,0.7869134662601124,0.7942273485898124
office_home,dinov2_b14,Art,3,random,6,Product__block_00|Real World__block_00|Real World__block_03,3339,952576354c4899bdccdb553e4bc30a86974e217b321d02e8ead097acbc6ee96e,1686,1.0,primal,0.12866387143731117,0,0.47021808133688126,0.9623274721962994,3.6603096063644935,0.8196915776986952,0.7839892752888649,0.7924701886277955
