dataset,encoder,target_domain,budget,method,repeat,combination,selected_sample_count,brier_score,oracle_brier,normalized_brier_regret,brier_rank,top_q,in_brier_top_q,target_a_proxy_rank
office_home,resnet50,Art,3,random,5,Clipart__block_02|Clipart__block_03|Real World__block_03,3310,0.9679063464958065,0.9668522831700206,0.0010902009998155955,119,10,0,131
office_home,resnet50,Art,3,random,6,Product__block_00|Real World__block_00|Real World__block_03,3339,0.9671620869188048,0.9668522831700206,0.0003204251095818324,22,10,0,20
office_home,resnet50,Art,3,random,7,Clipart__block_02|Product__block_01|Real World__block_02,3244,0.9675468720282608,0.9668522831700206,0.0007184022526821809,58,10,0,81
office_home,resnet50,Art,3,random,8,Clipart__block_03|Product__block_03|Real World__block_01,3246,0.9678411844880037,0.9668522831700206,0.0010228049674153052,108,10,0,117
office_home,resnet50,Art,3,random,9,Product__block_00|Product__block_02|Real World__block_01,3328,0.9684690595718591,0.9668522831700206,0.0016722062201038827,161,10,0,137
office_home,resnet50,Art,3,random,10,Clipart__block_02|Product__block_02|Real World__block_00,3230,0.9678316948063405,0.9668522831700206,0.0010129899400026985,106,10,0,100
office_home,resnet50,Art,3,random,11,Clipart__block_02|Real World__block_00|Real World__block_01,3174,0.9671108061945649,0.9668522831700206,0.0002673862688690164,14,10,0,39
office_home,resnet50,Art,3,random,12,Clipart__block_00|Clipart__block_01|Real World__block_01,3267,0.9680417632991982,0.9668522831700206,0.0012302604543453965,138,10,0,159
office_home,resnet50,Art,3,random,13,Clipart__block_00|Product__block_00|Product__block_02,3388,0.9697147421929163,0.9668522831700206,0.0029605960214631488,206,10,0,166
office_home,resnet50,Art,3,random,14,Clipart__block_02|Clipart__block_03|Product__block_01,3262,0.9689527370576458,0.9668522831700206,0.0021724661814300017,165,10,0,199
office_home,resnet50,Art,3,random,15,Clipart__block_02|Product__block_00|Real World__block_01,3266,0.9676258320874299,0.9668522831700206,0.0008000693910274396,74,10,0,94
office_home,resnet50,Art,3,random,16,Clipart__block_00|Product__block_02|Real World__block_01,3311,0.9679903060697196,0.9668522831700206,0.0011770390570602577,136,10,0,92
office_home,resnet50,Art,3,random,17,Clipart__block_00|Product__block_00|Real World__block_00,3317,0.9676349715794001,0.9668522831700206,0.0008095222227881176,75,10,0,67
office_home,resnet50,Art,3,random,18,Clipart__block_00|Product__block_01|Real World__block_03,3371,0.9675772866190891,0.9668522831700206,0.0007498595821602568,63,10,0,54
office_home,resnet50,Art,3,random,19,Clipart__block_02|Real World__block_00|Real World__block_02,3195,0.9670702599135677,0.9668522831700206,0.0002254498927513364,5,10,1,27
office_home,resnet50,Art,3,second_moment_mmd,-1,Real World__block_00|Real World__block_01|Real World__block_02,3201,0.9668920884023807,0.9668522831700206,4.116992125169887e-05,2,10,1,4
office_home,resnet50,Art,3,size,-1,Clipart__block_00|Product__block_00|Real World__block_03,3414,0.9676193689327602,0.9668522831700206,0.0007933846525392733,73,10,0,53
office_home,resnet50,Art,3,spectrum_rank_l,-1,Clipart__block_00|Product__block_02|Real World__block_00,3296,0.9679329724919871,0.9668522831700206,0.0011177398458668563,124,10,0,76
office_home,resnet50,Art,3,target_a,-1,Real World__block_00|Real World__block_02|Real World__block_03,3283,0.9668522831700206,0.9668522831700206,0.0,1,10,1,1
office_home,resnet50,Art,3,target_energy,-1,Clipart__block_00|Clipart__block_01|Clipart__block_03,3306,0.9705517921807885,0.9668522831700206,0.0038263435637120166,216,10,0,219
office_home,resnet50,Art,5,bayesian_d,-1,Clipart__block_00|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,5473,0.9658758231431005,0.9658656119490723,1.0572064997338925e-05,2,10,1,1
office_home,resnet50,Art,5,collapse_4s,-1,Clipart__block_00|Product__block_00|Real World__block_01|Real World__block_02|Real World__block_03,5565,0.966014679945102,0.9658656119490723,0.00015433616663186616,54,10,0,9
office_home,resnet50,Art,5,domain_balance,-1,Clipart__block_00|Clipart__block_03|Product__block_00|Product__block_02|Real World__block_03,5639,0.9668988435273974,0.9658656119490723,0.0010697467282639037,613,10,0,461
office_home,resnet50,Art,5,dpp_subspace,-1,Clipart__block_00|Product__block_00|Real World__block_01|Real World__block_02|Real World__block_03,5565,0.966014679945102,0.9658656119490723,0.00015433616663186616,54,10,0,9
office_home,resnet50,Art,5,effective_rank,-1,Clipart__block_00|Real World__block_00|Real World__block_01|Real World__block_02|Real World__block_03,5473,0.9658758231431005,0.9658656119490723,1.0572064997338925e-05,2,10,1,1
office_home,resnet50,Art,5,facility_subspace,-1,Clipart__block_01|Product__block_00|Product__block_02|Real World__block_02|Real World__block_03,5573,0.9664529889281123,0.9658656119490723,0.0006081353055469993,378,10,0,139
office_home,resnet50,Art,5,kcenter_subspace,-1,Clipart__block_00|Clipart__block_02|Product__block_02|Real World__block_00|Real World__block_03,5502,0.9663269848722197,0.9658656119490723,0.00047767817534820193,252,10,0,199
office_home,resnet50,Art,5,random,0,Clipart__block_01|Clipart__block_02|Clipart__block_03|Product__block_00|Product__block_01,5481,0.9675151684525256,0.9658656119490723,0.0017078530212133777,733,10,0,768
office_home,resnet50,Art,5,random,1,Clipart__block_01|Clipart__block_02|Product__block_00|Product__block_01|Real World__block_03,5524,0.9667254083013016,0.9658656119490723,0.0008901821760630815,493,10,0,474
office_home,resnet50,Art,5,random,2,Clipart__block_02|Product__block_01|Product__block_03|Real World__block_00|Real World__block_02,5371,0.966345243892595,0.9658656119490723,0.0004965824826860387,273,10,0,346
office_home,resnet50,Art,5,random,3,Clipart__block_00|Clipart__block_03|Product__block_03|Real World__block_02|Real World__block_03,5539,0.9662848457396322,0.9658656119490723,0.0004340498153919935,209,10,0,224
office_home,resnet50,Art,5,random,4,Clipart__block_02|Clipart__block_03|Product__block_00|Product__block_02|Real World__block_01,5491,0.9668489214125046,0.9658656119490723,0.0010180603297885377,570,10,0,622
