encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,best_candidate_confidence_set_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal,best_candidate_recall_tol_0_mean,best_candidate_recall_tol_0p001_mean,best_candidate_recall_tol_0p002_mean,best_candidate_recall_tol_0p005_mean
vit_b16,agglomerative_subspace,3,7,7,0.0,0.2857142857142857,0.09523809523809523,0.2857142857142857,0.3333333333333333,0.00618261626078754,0.18698114434737897,0.8571428571428572,3.0,0.8235294117647057,False,0.0,0.0,0.14285714285714285,0.42857142857142855
vit_b16,agglomerative_subspace,5,7,7,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.38095238095238093,0.006135930837617725,0.1857946211710502,0.7619047619047619,5.0,0.7058823529411765,False,0.0,0.0,0.14285714285714285,0.42857142857142855
vit_b16,agglomerative_subspace,10,7,7,0.0,0.5714285714285714,0.23809523809523808,0.42857142857142855,0.5238095238095238,0.0052589928859734635,0.1519259464686951,0.5238095238095238,10.0,0.41176470588235287,False,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855
vit_b16,dpp_subspace,3,7,7,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.0001449273273688315,0.008968601965394304,0.8571428571428572,3.0,0.8235294117647057,False,0.8571428571428571,0.8571428571428571,1.0,1.0
vit_b16,dpp_subspace,5,7,7,0.8571428571428571,1.0,0.7142857142857143,1.0,0.7619047619047619,0.0001449273273688315,0.008968601965394304,0.7619047619047619,5.0,0.7058823529411765,False,0.8571428571428571,0.8571428571428571,1.0,1.0
vit_b16,dpp_subspace,10,7,7,0.8571428571428571,1.0,0.7619047619047619,1.0,0.8095238095238094,0.0001449273273688315,0.008968601965394304,0.5238095238095238,9.0,0.4705882352941177,False,0.8571428571428571,0.8571428571428571,1.0,1.0
vit_b16,exact_merged_rank_greedy,3,7,7,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.0001449273273688315,0.008968601965394304,0.8571428571428572,3.0,0.8235294117647057,False,0.8571428571428571,0.8571428571428571,1.0,1.0
vit_b16,exact_merged_rank_greedy,5,7,7,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.0001449273273688315,0.008968601965394304,0.7619047619047619,4.0,0.7647058823529411,False,0.8571428571428571,0.8571428571428571,1.0,1.0
vit_b16,exact_merged_rank_greedy,10,7,7,1.0,1.0,0.8095238095238094,1.0,0.8095238095238094,0.0,0.0,0.5238095238095238,8.0,0.5294117647058824,True,1.0,1.0,1.0,1.0
vit_b16,facility_subspace,3,7,7,0.0,0.5714285714285714,0.09523809523809523,0.42857142857142855,0.38095238095238093,0.0070918125322120985,0.1999163393973173,0.8571428571428572,3.0,0.8235294117647057,False,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857
