run_fingerprint,encoder,baseline,adapter_seed,target,test_accuracy,evaluation_seconds,device
aa68f8ecdfa2d6f52ae0021e786a197e0ee812924839e0d6a2590b4f0ab7366a,resnet50,random_adapter,0,gtsrb,0.6008000373840332,0.025393780320882797,npu:4
aa68f8ecdfa2d6f52ae0021e786a197e0ee812924839e0d6a2590b4f0ab7366a,resnet50,random_adapter,1,gtsrb,0.5997999906539917,0.02421722747385502,npu:4
aa68f8ecdfa2d6f52ae0021e786a197e0ee812924839e0d6a2590b4f0ab7366a,resnet50,random_adapter,2,gtsrb,0.5919999480247498,0.02376922406256199,npu:4
aa68f8ecdfa2d6f52ae0021e786a197e0ee812924839e0d6a2590b4f0ab7366a,resnet50,random_adapter,3,gtsrb,0.6097999811172485,0.024270376190543175,npu:4
aa68f8ecdfa2d6f52ae0021e786a197e0ee812924839e0d6a2590b4f0ab7366a,resnet50,random_adapter,4,gtsrb,0.600600004196167,0.02335704118013382,npu:4
aa68f8ecdfa2d6f52ae0021e786a197e0ee812924839e0d6a2590b4f0ab7366a,resnet50,frozen_identity,-1,oxford_pets,0.9119650721549988,0.3305365312844515,npu:4
aa68f8ecdfa2d6f52ae0021e786a197e0ee812924839e0d6a2590b4f0ab7366a,resnet50,random_adapter,0,oxford_pets,0.899972677230835,0.025119520723819733,npu:4
aa68f8ecdfa2d6f52ae0021e786a197e0ee812924839e0d6a2590b4f0ab7366a,resnet50,random_adapter,1,oxford_pets,0.9035159349441528,0.023302853107452393,npu:4
aa68f8ecdfa2d6f52ae0021e786a197e0ee812924839e0d6a2590b4f0ab7366a,resnet50,random_adapter,2,oxford_pets,0.8972471952438354,0.03383595310151577,npu:4
aa68f8ecdfa2d6f52ae0021e786a197e0ee812924839e0d6a2590b4f0ab7366a,resnet50,random_adapter,3,oxford_pets,0.8967020511627197,0.024210164323449135,npu:4
aa68f8ecdfa2d6f52ae0021e786a197e0ee812924839e0d6a2590b4f0ab7366a,resnet50,random_adapter,4,oxford_pets,0.9035158753395081,0.02459719590842724,npu:4
