encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,best_candidate_confidence_set_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal,best_candidate_recall_tol_0_mean,best_candidate_recall_tol_0p001_mean,best_candidate_recall_tol_0p002_mean,best_candidate_recall_tol_0p005_mean
resnet50,agglomerative_subspace,3,7,7,0.0,0.2857142857142857,0.09523809523809523,0.14285714285714285,0.2857142857142857,0.009309542649472582,0.20106468037520808,0.8571428571428572,3.0,0.8235294117647057,False,0.0,0.0,0.0,0.2857142857142857
resnet50,agglomerative_subspace,5,7,7,0.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5,0.007192560718796656,0.1554035962122591,0.7619047619047619,5.0,0.7058823529411765,False,0.0,0.0,0.0,0.2857142857142857
resnet50,agglomerative_subspace,10,7,7,0.0,0.42857142857142855,0.19047619047619047,0.42857142857142855,0.5476190476190476,0.006295418531837056,0.13820700510745768,0.5238095238095238,10.0,0.41176470588235287,False,0.0,0.0,0.0,0.42857142857142855
resnet50,dpp_subspace,3,7,7,0.7142857142857143,1.0,0.5238095238095238,0.7142857142857143,0.5476190476190476,0.0018118616913611765,0.036096294890189055,0.8571428571428572,3.0,0.8235294117647057,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571
resnet50,dpp_subspace,5,7,7,0.7142857142857143,1.0,0.5714285714285714,0.7142857142857143,0.5952380952380952,0.0014065931043627522,0.027230688875238943,0.7619047619047619,5.0,0.7058823529411765,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571
resnet50,dpp_subspace,10,7,7,0.7142857142857143,1.0,0.6666666666666667,0.7142857142857143,0.6904761904761906,0.0007802678407353079,0.01352927405388179,0.5238095238095238,8.0,0.5294117647058824,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0
resnet50,exact_merged_rank_greedy,3,7,7,0.7142857142857143,1.0,0.5238095238095238,0.7142857142857143,0.5476190476190476,0.0018118616913611765,0.036096294890189055,0.8571428571428572,3.0,0.8235294117647057,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571
resnet50,exact_merged_rank_greedy,5,7,7,0.7142857142857143,1.0,0.5714285714285714,0.7142857142857143,0.5952380952380952,0.0014065931043627522,0.027230688875238943,0.7619047619047619,4.0,0.7647058823529411,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571
resnet50,exact_merged_rank_greedy,10,7,7,0.7142857142857143,1.0,0.6666666666666667,0.7142857142857143,0.6904761904761906,0.0007802678407353079,0.01352927405388179,0.5238095238095238,7.0,0.5882352941176471,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0
resnet50,facility_subspace,3,7,7,0.0,0.0,0.0,0.14285714285714285,0.19047619047619047,0.01443329039913484,0.3043704677691365,0.8571428571428572,3.0,0.8235294117647057,False,0.0,0.0,0.0,0.0
resnet50,facility_subspace,5,7,7,0.0,0.0,0.0,0.14285714285714285,0.19047619047619047,0.01443329039913484,0.3043704677691365,0.7619047619047619,5.0,0.7058823529411765,False,0.0,0.0,0.0,0.0
resnet50,facility_subspace,10,7,7,0.0,0.5714285714285714,0.23809523809523808,0.42857142857142855,0.5952380952380952,0.006668345962761961,0.14374514122594317,0.5238095238095238,10.0,0.41176470588235287,False,0.0,0.0,0.0,0.42857142857142855
resnet50,kcenter_subspace,3,7,7,0.8571428571428571,1.0,0.4761904761904762,0.8571428571428571,0.5238095238095238,0.0004508611134120504,0.007383439034904858,0.8571428571428572,3.0,0.8235294117647057,False,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0
resnet50,kcenter_subspace,5,7,7,0.8571428571428571,1.0,0.4761904761904762,0.8571428571428571,0.5238095238095238,0.0004508611134120504,0.007383439034904858,0.7619047619047619,5.0,0.7058823529411765,False,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0
resnet50,kcenter_subspace,10,7,7,0.8571428571428571,1.0,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.0004508611134120504,0.007383439034904858,0.5238095238095238,10.0,0.41176470588235287,False,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0
resnet50,leverage_centroid,3,7,7,0.0,0.2857142857142857,0.047619047619047616,0.0,0.047619047619047616,0.009740655721628197,0.21213616805157318,0.8571428571428572,3.0,0.8235294117647057,False,0.0,0.0,0.0,0.2857142857142857
resnet50,leverage_centroid,5,7,7,0.0,0.42857142857142855,0.047619047619047616,0.0,0.047619047619047616,0.008243003801110862,0.17673340667959167,0.7619047619047619,5.0,0.7058823529411765,False,0.0,0.0,0.0,0.2857142857142857
resnet50,leverage_centroid,10,7,7,0.0,0.5714285714285714,0.23809523809523808,0.2857142857142857,0.40476190476190477,0.006307980241263754,0.13773118215493843,0.5238095238095238,10.0,0.41176470588235287,False,0.0,0.0,0.0,0.42857142857142855
resnet50,pool_vendi_subspace,3,7,7,0.8571428571428571,1.0,0.4761904761904762,0.8571428571428571,0.5238095238095238,0.0004508611134120504,0.007383439034904858,0.8571428571428572,3.0,0.8235294117647057,False,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0
resnet50,pool_vendi_subspace,5,7,7,0.8571428571428571,1.0,0.5238095238095238,0.8571428571428571,0.5714285714285714,0.0004508611134120504,0.007383439034904858,0.7619047619047619,5.0,0.7058823529411765,False,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0
resnet50,pool_vendi_subspace,10,7,7,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.0004508611134120504,0.007383439034904858,0.5238095238095238,9.0,0.4705882352941177,False,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0
resnet50,random,3,700,7,0.13714285714285715,0.4114285714285714,0.1357142857142857,0.19142857142857142,0.19499999999999995,0.007979442574101102,0.16734575526082443,0.8571428571428572,2.9414285714285713,0.8269747899159662,False,0.13714285714285715,0.16,0.1957142857142857,0.4085714285714286
resnet50,random,5,700,7,0.2342857142857143,0.5714285714285714,0.23333333333333334,0.32285714285714284,0.3195238095238095,0.005429741473375858,0.11552577035467194,0.7619047619047619,4.801428571428572,0.7175630252100842,False,0.2342857142857143,0.2671428571428571,0.3171428571428571,0.5657142857142857
resnet50,random,10,700,7,0.4742857142857143,0.8157142857142857,0.4685714285714286,0.5957142857142858,0.575,0.0025890929931191935,0.055681199706784375,0.5238095238095238,8.984285714285715,0.4715126050420168,False,0.4742857142857143,0.51,0.5628571428571428,0.81
resnet50,rank_l_gram,3,7,7,0.7142857142857143,1.0,0.5238095238095238,0.7142857142857143,0.5476190476190476,0.0018118616913611765,0.036096294890189055,0.8571428571428572,3.0,0.8235294117647057,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571
resnet50,rank_l_gram,5,7,7,0.7142857142857143,1.0,0.6190476190476192,0.7142857142857143,0.6428571428571429,0.0007802678407353079,0.01352927405388179,0.7619047619047619,5.0,0.7058823529411765,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0
resnet50,rank_l_gram,10,7,7,0.7142857142857143,1.0,0.7142857142857143,1.0,0.9047619047619048,0.0007802678407353079,0.01352927405388179,0.5238095238095238,10.0,0.41176470588235287,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0
resnet50,rank_only,3,7,7,0.7142857142857143,1.0,0.47619047619047616,0.7142857142857143,0.5,0.002143444936886182,0.04334996939221652,0.8571428571428572,2.0,0.8823529411764708,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571
resnet50,rank_only,5,7,7,0.7142857142857143,1.0,0.5714285714285714,0.7142857142857143,0.5952380952380952,0.0014065931043627522,0.027230688875238943,0.7619047619047619,4.0,0.7647058823529411,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571
resnet50,rank_only,10,7,7,0.7142857142857143,1.0,0.6666666666666667,0.7142857142857143,0.6904761904761906,0.0007802678407353079,0.01352927405388179,0.5238095238095238,7.0,0.5882352941176471,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0
