method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction_mean,test_regret_vs_exhaustive_validation_selection_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
agglomerative_subspace,3,beans,4,0.0,0.16666666666666666,0.0028207605227895116,0.14711203836543574,0.8571428571428572,0.010546875000000011,0.0,0.25,3.0,0.8235294117647058
agglomerative_subspace,3,dtd,4,0.0,0.0,0.009126775662104264,0.2578376098892963,0.8571428571428572,0.007792547345161438,0.5,0.3333333333333333,3.0,0.8235294117647058
agglomerative_subspace,3,eurosat,4,0.0,0.0,0.004213336677153956,0.27347284018760754,0.8571428571428572,0.005648139119148243,0.0,0.3333333333333333,3.0,0.8235294117647058
agglomerative_subspace,3,flowers102,4,0.0,0.0,0.011601307193438215,0.24781178793631428,0.8571428571428572,0.007100000977516174,0.5,0.16666666666666666,3.0,0.8235294117647058
agglomerative_subspace,3,food101,4,0.0,0.0,0.007979998752971507,0.2187199737558385,0.8571428571428572,0.005039995908737174,0.25,0.3333333333333333,3.0,0.8235294117647058
agglomerative_subspace,3,gtsrb,4,0.0,0.08333333333333333,0.01292333907564483,0.3615867519356613,0.8571428571428572,0.01152999401092529,0.0,0.16666666666666666,3.0,0.8235294117647058
agglomerative_subspace,3,oxford_pets,4,0.0,0.08333333333333333,0.004823367774918402,0.19903891926329814,0.8571428571428572,0.005519196391105624,0.25,0.41666666666666663,3.0,0.8235294117647058
agglomerative_subspace,5,beans,4,0.25,0.25,0.0017569322189464054,0.06928195193142833,0.7619047619047619,0.0054687499999999944,0.5,0.41666666666666663,5.0,0.7058823529411764
agglomerative_subspace,5,dtd,4,0.0,0.0,0.007402485609054571,0.2089238845106305,0.7619047619047619,0.006276595592498768,0.5,0.3333333333333333,5.0,0.7058823529411764
agglomerative_subspace,5,eurosat,4,0.0,0.0,0.0034800003898144416,0.2259723912703787,0.7619047619047619,0.0042036950588226485,0.0,0.41666666666666663,5.0,0.7058823529411764
agglomerative_subspace,5,flowers102,4,0.0,0.16666666666666666,0.00924836635589607,0.19030410383818777,0.7619047619047619,0.006019997596740739,0.75,0.4583333333333333,5.0,0.7058823529411764
agglomerative_subspace,5,food101,4,0.0,0.0,0.00765999898135665,0.21306493543996097,0.7619047619047619,0.0058099955320358165,0.25,0.3333333333333333,5.0,0.7058823529411764
agglomerative_subspace,5,gtsrb,4,0.0,0.25,0.008343336282968544,0.21514920465619486,0.7619047619047619,0.006510001420974756,0.25,0.4583333333333333,5.0,0.7058823529411764
agglomerative_subspace,5,oxford_pets,4,0.0,0.08333333333333333,0.004823367774918402,0.19903891926329814,0.7619047619047619,0.005519196391105624,0.25,0.41666666666666663,5.0,0.7058823529411764
agglomerative_subspace,10,beans,4,0.25,0.41666666666666663,0.001353965560364656,0.03397113621640014,0.5238095238095238,0.005078124999999989,0.75,0.625,10.0,0.4117647058823529
agglomerative_subspace,10,dtd,4,0.0,0.0,0.007180854678153964,0.2001765200001503,0.5238095238095238,0.005345746874809265,0.5,0.3333333333333333,10.0,0.4117647058823529
agglomerative_subspace,10,eurosat,4,0.25,0.16666666666666666,0.0017433325278759515,0.10898693311159532,0.5238095238095238,0.0023703694343567006,0.25,0.5833333333333333,10.0,0.4117647058823529
agglomerative_subspace,10,flowers102,4,0.0,0.25,0.00848039249579119,0.1707858319246052,0.5238095238095238,0.007479998469352739,0.75,0.5416666666666666,10.0,0.4117647058823529
agglomerative_subspace,10,food101,4,0.0,0.08333333333333333,0.006286665483216408,0.18409129485227882,0.5238095238095238,0.004669991135597212,0.25,0.41666666666666663,10.0,0.4117647058823529
agglomerative_subspace,10,gtsrb,4,0.0,0.25,0.00774667038261892,0.20204437737206105,0.5238095238095238,0.008460000157356276,0.25,0.5416666666666666,10.0,0.4117647058823529
