shortlist_size,encoder_target_pairs,best_recall_delta_mean,validation_regret_delta_mean,shortlist_jaccard_mean,recall_wins,recall_ties,recall_losses,regret_wins,regret_ties,regret_losses
3,28,0.03571428571428571,-0.00011973844835461156,0.625,1,27,0,2,26,0
5,28,0.0,0.0,0.75,0,28,0,0,28,0
10,28,0.0,-7.199329779378998e-05,0.7803030303030303,1,26,1,1,26,1
