excluded_encoder,method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction_mean,test_regret_vs_exhaustive_validation_selection_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
clip_b32,agglomerative_subspace,3,21,3,21,0.0,0.06349206349206349,0.006586026074192611,0.19408586904860953,0.8571428571428571,0.00568675313677106,0.14285714285714285,0.2857142857142857,3.0,0.8235294117647058,0,False
clip_b32,dpp_subspace,3,21,3,21,0.7619047619047619,0.5079365079365079,0.0007417203143793254,0.02504244347727048,0.8571428571428571,0.0004962535131545316,0.7619047619047619,0.5952380952380952,3.0,0.8235294117647058,0,False
clip_b32,exact_merged_rank_greedy,3,21,3,21,0.8095238095238095,0.5555555555555556,0.0007105969638423153,0.020133270141178397,0.8571428571428571,0.00048672869091942196,0.8095238095238095,0.6428571428571429,3.0,0.8235294117647058,0,False
clip_b32,facility_subspace,3,21,3,21,0.0,0.06349206349206349,0.008346170453279608,0.22056327111154617,0.8571428571428571,0.009216500747771488,0.23809523809523808,0.3253968253968254,3.0,0.8235294117647058,0,False
clip_b32,kcenter_subspace,3,21,3,21,0.6666666666666666,0.3492063492063492,0.0009947203454598874,0.034402669649561714,0.8571428571428571,0.0014666687874566994,0.6666666666666666,0.39682539682539675,3.0,0.8235294117647058,0,False
clip_b32,leverage_centroid,3,21,3,21,0.09523809523809523,0.14285714285714285,0.006334679680131421,0.19609642159003052,0.8571428571428571,0.002389320305415573,0.09523809523809523,0.14285714285714285,3.0,0.8235294117647058,0,False
clip_b32,pool_vendi_subspace,3,21,3,21,0.6666666666666666,0.3492063492063492,0.0009947203454598874,0.034402669649561714,0.8571428571428571,0.0014666687874566994,0.6666666666666666,0.39682539682539675,3.0,0.8235294117647058,0,False
clip_b32,rank_l_gram,3,21,3,21,0.8095238095238095,0.6349206349206349,0.0007105969638423153,0.020133270141178397,0.8571428571428571,0.00048672869091942196,0.8095238095238095,0.6428571428571429,3.0,0.8235294117647058,0,False
clip_b32,rank_only,3,21,3,21,0.7142857142857143,0.5079365079365079,0.0009013715788521408,0.02879001336725713,0.8571428571428571,0.003398039227440245,0.7142857142857143,0.5158730158730158,2.0,0.8823529411764705,0,False
clip_b32,agglomerative_subspace,5,21,3,21,0.0,0.11111111111111109,0.005610000877121895,0.16596273480540083,0.7619047619047619,0.0047917905307951454,0.23809523809523808,0.38888888888888884,5.0,0.7058823529411764,0,False
clip_b32,dpp_subspace,5,21,3,21,0.8095238095238095,0.6507936507936508,0.0005755074348428405,0.017178068136195025,0.7619047619047619,0.0017516096433003764,0.8571428571428571,0.6746031746031745,4.666666666666667,0.7254901960784313,0,False
