budget,method,task_units,brier_score_mean,squared_loss_mean,nll_mean,accuracy_mean,macro_f1_mean,ece_mean
1,bayesian_d,8,0.8455612419835938,0.4819841449806191,2.6669848957917854,0.7532430988758765,0.7372022162867038,0.6299308560166417
1,collapse_4s,8,0.8663506575857779,0.5755429194171073,2.7265449199945686,0.6739867535392094,0.6586466755851723,0.5596573678419208
1,domain_balance,8,0.8654034182932273,0.5687171886086849,2.7203552295762514,0.6799096130922593,0.6677238342457468,0.5644731246895297
1,dpp_subspace,8,0.8663506575857779,0.5755429194171073,2.7265449199945686,0.6739867535392094,0.6586466755851723,0.5596573678419208
1,effective_rank,8,0.8663506575857779,0.5755429194171073,2.7265449199945686,0.6739867535392094,0.6586466755851723,0.5596573678419208
1,facility_subspace,8,0.8618929904539829,0.5650684433073649,2.7250150316211497,0.6852933989140648,0.6641750701901082,0.5685323075314574
1,kcenter_subspace,8,0.8663506575857779,0.5755429194171073,2.7265449199945686,0.6739867535392094,0.6586466755851723,0.5596573678419208
1,random,8,0.8590843421965924,0.5603089320681043,2.7337870989924813,0.6838734731324826,0.6579538357962995,0.5689671775752638
1,second_moment_mmd,8,0.8477758250222149,0.49644677969908074,2.6872221606442777,0.7334429805360748,0.7123879044014831,0.6105875974091751
1,size,8,0.8654034182932273,0.5687171886086849,2.7203552295762514,0.6799096130922593,0.6677238342457468,0.5644731246895297
1,spectrum_rank_l,8,0.849049712852236,0.48957922263939024,2.679950254289955,0.7464910020702501,0.7311950250247805,0.6245616159548497
1,target_a,8,0.8429729743064226,0.47128980023797507,2.6600035452798116,0.758408317382935,0.7443567068056935,0.6330924467737113
1,target_energy,8,0.8515699877868108,0.5506478398918423,2.714276098226724,0.701368744763812,0.6792303897797585,0.5804538331210249
3,bayesian_d,8,0.8293152572560627,0.43207714542726317,2.5978356406391088,0.7758483633976158,0.7617800016329808,0.6432345095151148
3,collapse_4s,8,0.8306516080056552,0.4387341584457243,2.601591658560158,0.782123127597165,0.7710954059042237,0.6501481801830531
3,domain_balance,8,0.8299331688758325,0.43286708889365916,2.600206782326763,0.7877755732855882,0.7739090931420851,0.6557267237947438
3,dpp_subspace,8,0.8291622482685062,0.4323686342856977,2.597018068963278,0.7870747891196372,0.7758609472361288,0.6542654842001393
3,effective_rank,8,0.8293296478287138,0.4311241593024116,2.5996751538179472,0.7840941019879566,0.7734654701452716,0.6515966820293948
3,facility_subspace,8,0.8304602136301809,0.43731605475658053,2.602603721877623,0.7788883049808961,0.7665294863576031,0.6470362241389257
3,kcenter_subspace,8,0.8303752275979428,0.43405990070183886,2.602340725578742,0.7838110494819264,0.773811730969978,0.6521572612084945
3,random,8,0.8363777082092656,0.458671279047145,2.623120149392001,0.7671723045439968,0.7536119203213396,0.6386533987849042
3,second_moment_mmd,8,0.828719207562557,0.4212711887006515,2.5951208994990553,0.7837252960514783,0.7702244416355939,0.65084073877289
3,size,8,0.8596828787321459,0.5519519369615425,2.680067559272569,0.7014729521295755,0.6887439567944695,0.5825962551105641
3,spectrum_rank_l,8,0.8293889434993369,0.4285376286638667,2.5987828361754595,0.7878833767685085,0.7780505341032268,0.6559501755534167
3,target_a,8,0.8267687419582119,0.41987343872710436,2.5872807494126895,0.7849418916699804,0.7755323471729214,0.6507350165757491
3,target_energy,8,0.8426308359287569,0.5141656764991431,2.6510299046821917,0.7297220247975515,0.7161911880423508,0.6031268179718494
5,bayesian_d,8,0.8238569886121239,0.4115788916381339,2.573608876644633,0.7950836756722695,0.7851909071253158,0.6596728781638435
5,collapse_4s,8,0.8269122156872667,0.42792842626936345,2.5827133224930576,0.7878730433760865,0.7772179437383209,0.6538301198547973
5,domain_balance,8,0.8275034482826049,0.4281464600165636,2.584681928561731,0.7917481613432713,0.7812512328278053,0.6584226661902575
5,dpp_subspace,8,0.8252266526361651,0.4152380796486673,2.5775788606185146,0.7958870427903137,0.7850684422238261,0.6613169893814145
5,effective_rank,8,0.8257931513238421,0.416013799032199,2.5817747992650357,0.7916981595187331,0.7809141112889303,0.6573425101583339
5,facility_subspace,8,0.8266163698919293,0.41858258074830224,2.583862959987173,0.7921442852831491,0.7784139224585456,0.6584001825889091
5,kcenter_subspace,8,0.8266167609010067,0.41759445407432294,2.5837223320839797,0.7942941715559189,0.7836549773160806,0.6606958022923464
5,random,8,0.8289533685566766,0.43326619102031305,2.591110682154203,0.7855686530928903,0.7738801923677121,0.6530121931854629
5,second_moment_mmd,8,0.8251375032352034,0.4070639874078833,2.5755562584454252,0.796435501823709,0.786382891919374,0.6619551173963694
5,size,8,0.8415677023661773,0.4826388748387289,2.6218506878046375,0.7565196047014686,0.7446409986971894,0.6296092849948722
5,spectrum_rank_l,8,0.8254478063119878,0.4140684431300291,2.58073535868632,0.7952755408428557,0.785683191930412,0.6612595223017884
5,target_a,8,0.8238542951621617,0.40904340391874716,2.5714042486234647,0.7948615431284045,0.7863124338067911,0.6593493588810769
5,target_energy,8,0.8307828453110462,0.4521362903551761,2.599345424395319,0.7736599117036866,0.7641631956161863,0.6416323543616043
