construction,readout,metric,method,shortlist_size,domain_count,repeated_task_count,test_loss,oracle_loss,full_validation_test_loss,gap_to_full,absolute_omission,recall_at_top_q,worst_repeated_task_gap
original,logistic,brier_score,domain_moment_ties,10,6,12,0.867918254575045,0.8617376828881915,0.8629920182713763,0.004926236303668653,0.005647542756832692,0.20750000000000002,0.029650159335018918
original,logistic,brier_score,domain_moment_ties,25,6,12,0.8657499435670472,0.8617376828881915,0.8629920182713763,0.0027579252956708156,0.0035431150440173895,0.4008333333333334,0.027803833164630413
original,logistic,brier_score,domain_moment_ties,50,6,12,0.8636670305476386,0.8617376828881915,0.8629920182713763,0.000675012276262162,0.0009612506855497157,0.6150000000000001,0.011143328178167877
original,logistic,brier_score,domain_moment_ties,100,6,12,0.8636417790304041,0.8617376828881915,0.8629920182713763,0.0006497607590276284,0.0006520547249868721,0.7958333333333333,0.007704019604833317
original,logistic,brier_score,domain_moment_ties,227,6,12,0.8629920182713763,0.8617376828881915,0.8629920182713763,0.0,0.0,0.9916666666666667,0.0
original,logistic,error_rate,domain_moment_ties,10,6,12,0.644268798828125,0.6216227213541666,0.62939453125,0.014874267578124998,0.020060221354166668,0.1745833333333333,0.0845703125
original,logistic,error_rate,domain_moment_ties,25,6,12,0.640283203125,0.6216227213541666,0.62939453125,0.010888671874999999,0.015421549479166664,0.30666666666666664,0.077490234375
original,logistic,error_rate,domain_moment_ties,50,6,12,0.6364278157552083,0.6216227213541666,0.62939453125,0.007033284505208333,0.011295572916666668,0.5008333333333334,0.04443359375
original,logistic,error_rate,domain_moment_ties,100,6,12,0.6320231119791667,0.6216227213541666,0.62939453125,0.0026285807291666664,0.0034810384114583332,0.7795833333333334,0.01953125
original,logistic,error_rate,domain_moment_ties,227,6,12,0.62939453125,0.6216227213541666,0.62939453125,0.0,0.0,0.9916666666666667,0.0
original,logistic,nll,domain_moment_ties,10,6,12,3.4376208647299653,3.3899956512781926,3.3965429412617625,0.04107792346820315,0.04645063085851142,0.19041666666666668,0.266535699994637
original,logistic,nll,domain_moment_ties,25,6,12,3.4253814885750002,3.3899956512781926,3.3965429412617625,0.028838547313237105,0.029813822070643804,0.36166666666666664,0.2275306379507866
original,logistic,nll,domain_moment_ties,50,6,12,3.4097476525013284,3.3899956512781926,3.3965429412617625,0.013204711239565648,0.013172700850346787,0.59125,0.12037078417424944
original,logistic,nll,domain_moment_ties,100,6,12,3.400003580412958,3.3899956512781926,3.3965429412617625,0.0034606391511956083,0.0030354254190455027,0.8429166666666665,0.0314430759290556
original,logistic,nll,domain_moment_ties,227,6,12,3.3965429412617625,3.3899956512781926,3.3965429412617625,0.0,0.0,0.9916666666666667,0.0
original,ridge,brier_score,domain_moment_ties,10,6,12,0.9867426272371335,0.9866270068343569,0.9866385394817129,0.00010408775542073422,0.00010946128772832316,0.2233333333333333,0.0004298861279320665
original,ridge,brier_score,domain_moment_ties,25,6,12,0.9866974881005702,0.9866270068343569,0.9866385394817129,5.8948618857502155e-05,6.818715800043645e-05,0.37833333333333324,0.00041627556076389574
original,ridge,brier_score,domain_moment_ties,50,6,12,0.986651412201805,0.9866270068343569,0.9866385394817129,1.2872720092133027e-05,1.8214415076842996e-05,0.61375,6.846062616518988e-05
original,ridge,brier_score,domain_moment_ties,100,6,12,0.9866429377241878,0.9866270068343569,0.9866385394817129,4.398242474903021e-06,1.0282166824988429e-05,0.7895833333333333,3.6793021643988236e-05
original,ridge,brier_score,domain_moment_ties,227,6,12,0.9866385394817129,0.9866270068343569,0.9866385394817129,0.0,0.0,1.0,0.0
