encoder,projection_seed,target_domain,readout,metric,shortlist_size,method,recall_at_top_q,recall_at_top_q_defined_count,test_loss,test_loss_defined_count,oracle_loss,oracle_loss_defined_count,absolute_regret,absolute_regret_defined_count,relative_regret,relative_regret_defined_count,span_normalized_regret,span_normalized_regret_defined_count,absolute_omission,absolute_omission_defined_count,relative_candidate_span,relative_candidate_span_defined_count
dinov2_b14,20260911,clipart,logistic,brier_score,10,bayesian_d,0.0,1,0.7874858206523349,1,0.7587180257645341,1,0.02876779488780079,1,0.03791631925287721,1,0.1437997160569708,1,0.02876779488780079,1,0.26367450710302837,1
dinov2_b14,20260911,clipart,logistic,brier_score,10,domain_balance,0.0,1,0.8004754441988557,1,0.7587180257645341,1,0.04175741843432168,1,0.05503680816367077,1,0.20873010731433986,1,0.04175741843432168,1,0.26367450710302837,1
dinov2_b14,20260911,clipart,logistic,brier_score,10,dpp_subspace,0.0,1,0.8330599689588005,1,0.7587180257645341,1,0.07434194319426646,1,0.09798362589231308,1,0.37160826417711623,1,0.07434194319426646,1,0.26367450710302837,1
dinov2_b14,20260911,clipart,logistic,brier_score,10,merged_effective_rank,0.0,1,0.7874858206523349,1,0.7587180257645341,1,0.02876779488780079,1,0.03791631925287721,1,0.1437997160569708,1,0.02876779488780079,1,0.26367450710302837,1
dinov2_b14,20260911,clipart,logistic,brier_score,10,random,0.03,20,0.7917013171590309,20,0.758718025764534,20,0.03298329139449675,20,0.043472397220641515,20,0.1648714458529549,20,0.0326101790855598,20,0.2636745071030283,20
dinov2_b14,20260911,clipart,logistic,brier_score,10,second_moment_mmd,0.0,1,0.7782075447852588,1,0.7587180257645341,1,0.01948951902072471,1,0.025687433748639084,1,0.09742099845322535,1,0.01866231391481621,1,0.26367450710302837,1
dinov2_b14,20260911,clipart,logistic,brier_score,10,target_a,0.3,1,0.7608237554960172,1,0.7587180257645341,1,0.0021057297314831525,1,0.0027753785464122603,1,0.010525775043272602,1,0.0021057297314831525,1,0.26367450710302837,1
dinov2_b14,20260911,clipart,logistic,brier_score,10,target_energy,0.0,1,0.8620876999487396,1,0.7587180257645341,1,0.1033696741842055,1,0.13624254423116341,1,0.5167073060192653,1,0.1033696741842055,1,0.26367450710302837,1
dinov2_b14,20260911,clipart,logistic,brier_score,25,bayesian_d,0.1,1,0.7643623899675955,1,0.7587180257645341,1,0.005644364203061469,1,0.007439343750102467,1,0.028214118353108796,1,0.005644364203061469,1,0.26367450710302837,1
dinov2_b14,20260911,clipart,logistic,brier_score,25,domain_balance,0.0,1,0.7972674844205516,1,0.7587180257645341,1,0.038549458656017555,1,0.05080867640804051,1,0.19269468621093314,1,0.038549458656017555,1,0.26367450710302837,1
