readout,method,metric,shortlist_size,projection_seeds,requested_projection_seeds,target_domain_count,repeated_task_count,recall_at_top_q,recall_at_top_q_defined_count,test_loss,test_loss_defined_count,oracle_loss,oracle_loss_defined_count,absolute_regret,absolute_regret_defined_count,relative_regret,relative_regret_defined_count,span_normalized_regret,span_normalized_regret_defined_count,absolute_omission,absolute_omission_defined_count,relative_candidate_span,relative_candidate_span_defined_count
logistic,bayesian_d,brier_score,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.17500000000000002,6,0.8740250232451406,6,0.8632587029736835,6,0.010766320271457163,6,0.012978291629175189,6,0.14931064821521545,6,0.010562556750361945,6,0.14652094607592522,6
logistic,bayesian_d,brier_score,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.3333333333333333,6,0.8685706777385948,6,0.8632587029736835,6,0.005311974764911335,6,0.006346914720720141,6,0.08357186159791814,6,0.0048707557483846945,6,0.14652094607592522,6
logistic,bayesian_d,brier_score,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.46875,6,0.8661277419627854,6,0.8632587029736835,6,0.0028690389891018165,6,0.003358728899568174,6,0.05694399403002132,6,0.00246521996099687,6,0.14652094607592522,6
logistic,bayesian_d,brier_score,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.6583333333333333,6,0.8654408730772274,6,0.8632587029736835,6,0.002182170103543835,6,0.0025304241633955266,6,0.0466965626996764,6,0.0013133095550358978,6,0.14652094607592522,6
logistic,bayesian_d,brier_score,227,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.8645833333333334,6,0.8645436888606611,6,0.8632587029736835,6,0.0012849858869775608,6,0.0014833986331476458,6,0.026083298937119387,6,0.00029884006036610955,6,0.14652094607592522,6
logistic,bayesian_d,error_rate,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.11874999999999998,6,0.6524861653645834,6,0.6259053548177084,6,0.026580810546875,6,0.04485954627119549,6,0.18052045145466453,6,0.022989908854166668,6,0.5637069335057727,6
logistic,bayesian_d,error_rate,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.2916666666666667,6,0.6401265462239584,6,0.6259053548177084,6,0.01422119140625,6,0.022230795581075727,6,0.11889618414396232,6,0.0087890625,6,0.5637069335057727,6
logistic,bayesian_d,error_rate,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.44999999999999996,6,0.6352437337239584,6,0.6259053548177084,6,0.00933837890625,6,0.01498328927225434,6,0.08129013516264928,6,0.00372314453125,6,0.5637069335057727,6
logistic,bayesian_d,error_rate,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.625,6,0.634307861328125,6,0.6259053548177084,6,0.008402506510416666,6,0.013741139738959901,6,0.07687315770176391,6,0.002960205078125,6,0.5637069335057727,6
logistic,bayesian_d,error_rate,227,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.8625000000000002,6,0.63330078125,6,0.6259053548177084,6,0.007395426432291667,6,0.013068029301123172,6,0.0545457566027713,6,0.0009765625,6,0.5637069335057727,6
logistic,bayesian_d,nll,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.18333333333333335,6,3.4876086252532676,6,3.4074871295253217,6,0.08012149572794572,6,0.02280547626903906,6,0.036860133624375284,6,0.0782182675504817,6,0.7108004272248954,6
