readout,method,metric,shortlist_size,projection_seeds,requested_projection_seeds,target_domain_count,repeated_task_count,recall_at_top_q,recall_at_top_q_defined_count,test_loss,test_loss_defined_count,oracle_loss,oracle_loss_defined_count,absolute_regret,absolute_regret_defined_count,relative_regret,relative_regret_defined_count,span_normalized_regret,span_normalized_regret_defined_count,absolute_omission,absolute_omission_defined_count,relative_candidate_span,relative_candidate_span_defined_count
logistic,bayesian_d,brier_score,10,[20260911],[20260911],6,12,0.15,6,0.8732953039629708,6,0.8625689229641544,6,0.010726380998816435,6,0.01294451619886868,6,0.14093995087224226,6,0.010116657023128176,6,0.1494103152993186,6
logistic,bayesian_d,brier_score,25,[20260911],[20260911],6,12,0.30833333333333335,6,0.8682961747304337,6,0.8625689229641544,6,0.005727251766279399,6,0.006787430226331964,6,0.08941023153798901,6,0.004999528819636001,6,0.1494103152993186,6
logistic,bayesian_d,brier_score,50,[20260911],[20260911],6,12,0.42500000000000004,6,0.8659218985306071,6,0.8625689229641544,6,0.0033529755664527447,6,0.003950451786963669,6,0.060100133363805174,6,0.002758700230788271,6,0.1494103152993186,6
logistic,bayesian_d,brier_score,100,[20260911],[20260911],6,12,0.6166666666666666,6,0.864813385872996,6,0.8625689229641544,6,0.002244462908841671,6,0.0025872293978170036,6,0.044441818871970025,6,0.0014072253307078713,6,0.1494103152993186,6
logistic,bayesian_d,brier_score,227,[20260911],[20260911],6,12,0.8583333333333334,6,0.8642188253606583,6,0.8625689229641544,6,0.0016499023965039956,6,0.0019250636526738658,6,0.0269460896013039,6,0.0003797874022179089,6,0.1494103152993186,6
logistic,bayesian_d,error_rate,10,[20260911],[20260911],6,12,0.09999999999999999,6,0.6498209635416666,6,0.625244140625,6,0.024576822916666668,6,0.04083857369440425,6,0.15403182730872786,6,0.022257486979166668,6,0.5754439772804213,6
logistic,bayesian_d,error_rate,25,[20260911],[20260911],6,12,0.2583333333333333,6,0.63623046875,6,0.625244140625,6,0.010986328125,6,0.017524423120171086,6,0.09058146079632069,6,0.007731119791666667,6,0.5754439772804213,6
logistic,bayesian_d,error_rate,50,[20260911],[20260911],6,12,0.42500000000000004,6,0.6314697265625,6,0.625244140625,6,0.0062255859375,6,0.008513054956087849,6,0.07414273025464778,6,0.0026041666666666665,6,0.5754439772804213,6
logistic,bayesian_d,error_rate,100,[20260911],[20260911],6,12,0.5916666666666667,6,0.6300862630208334,6,0.625244140625,6,0.004842122395833333,6,0.006882609485824822,6,0.04764955161032508,6,0.0017496744791666667,6,0.5754439772804213,6
logistic,bayesian_d,error_rate,227,[20260911],[20260911],6,12,0.875,6,0.6272379557291666,6,0.625244140625,6,0.0019938151041666665,6,0.003556620271000352,6,0.020194670453618363,6,0.000244140625,6,0.5754439772804213,6
logistic,bayesian_d,nll,10,[20260911],[20260911],6,12,0.17500000000000002,6,3.4917409061806635,6,3.4117618454222414,6,0.07997906075842191,6,0.022585912950897916,6,0.03713781591207945,6,0.07537104617452191,6,0.7105703344869246,6
logistic,bayesian_d,nll,25,[20260911],[20260911],6,12,0.325,6,3.4554618434609687,6,3.4117618454222414,6,0.043699998038726894,6,0.011790638270337406,6,0.021052123634941255,6,0.0413522966888609,6,0.7105703344869246,6
logistic,bayesian_d,nll,50,[20260911],[20260911],6,12,0.4916666666666667,6,3.4386983576564867,6,3.4117618454222414,6,0.02693651223424487,6,0.0070776738569419545,6,0.013519969101454135,6,0.024511410696342033,6,0.7105703344869246,6
logistic,bayesian_d,nll,100,[20260911],[20260911],6,12,0.6166666666666667,6,3.43421002718766,6,3.4117618454222414,6,0.022448181765418185,6,0.0058349356568005994,6,0.01123994906917046,6,0.017736246782608694,6,0.7105703344869246,6
logistic,bayesian_d,nll,227,[20260911],[20260911],6,12,0.8416666666666667,6,3.4286476833784607,6,3.4117618454222414,6,0.016885837956219008,6,0.004463837626787359,6,0.008360613249764325,6,0.007766847456528818,6,0.7105703344869246,6
logistic,domain_balance,brier_score,10,[20260911],[20260911],6,12,0.0,6,0.8894960403608486,6,0.8625689229641544,6,0.026927117396694168,6,0.033064748407100726,6,0.22772672497171567,6,0.02658778100990386,6,0.1494103152993186,6
logistic,domain_balance,brier_score,25,[20260911],[20260911],6,12,0.0,6,0.8879916175845276,6,0.8625689229641544,6,0.02542269462037351,6,0.03131059346106965,6,0.21139190166066105,6,0.024677438095309655,6,0.1494103152993186,6
logistic,domain_balance,brier_score,50,[20260911],[20260911],6,12,0.03333333333333333,6,0.8775585671549421,6,0.8625689229641544,6,0.014989644190787873,6,0.018058067125984234,6,0.14342291120812653,6,0.014512805733436088,6,0.1494103152993186,6
logistic,domain_balance,brier_score,100,[20260911],[20260911],6,12,0.14166666666666666,6,0.8718030263117861,6,0.8625689229641544,6,0.009234103347631814,6,0.011224455524290751,6,0.0828216512984464,6,0.009154379251808167,6,0.1494103152993186,6
logistic,domain_balance,brier_score,227,[20260911],[20260911],6,12,0.325,6,0.87116323342438,6,0.8625689229641544,6,0.00859431046022574,6,0.010454330792367204,6,0.07459064491028009,6,0.008155938634528523,6,0.1494103152993186,6
logistic,domain_balance,error_rate,10,[20260911],[20260911],6,12,0.008333333333333333,6,0.6831461588541666,6,0.625244140625,6,0.057902018229166664,6,0.11131327086090649,6,0.20690993018732984,6,0.057902018229166664,6,0.5754439772804213,6
logistic,domain_balance,error_rate,25,[20260911],[20260911],6,12,0.008333333333333333,6,0.6744791666666666,6,0.625244140625,6,0.049235026041666664,6,0.09469353729561959,6,0.17345981131235325,6,0.047159830729166664,6,0.5754439772804213,6
logistic,domain_balance,error_rate,50,[20260911],[20260911],6,12,0.03333333333333333,6,0.6609293619791666,6,0.625244140625,6,0.035685221354166664,6,0.06226871605431162,6,0.14315241648031105,6,0.0316162109375,6,0.5754439772804213,6
logistic,domain_balance,error_rate,100,[20260911],[20260911],6,12,0.06666666666666667,6,0.6549886067708334,6,0.625244140625,6,0.029744466145833332,6,0.05387301123492148,6,0.11349086465249432,6,0.026896158854166668,6,0.5754439772804213,6
logistic,domain_balance,error_rate,227,[20260911],[20260911],6,12,0.3,6,0.6507161458333334,6,0.625244140625,6,0.025472005208333332,6,0.045001126316592054,6,0.10091390474751816,6,0.017659505208333332,6,0.5754439772804213,6
logistic,domain_balance,nll,10,[20260911],[20260911],6,12,0.0,6,3.5918169693210857,6,3.4117618454222414,6,0.18005512389884423,6,0.05791258383386295,6,0.079160902157602,6,0.17866890863203524,6,0.7105703344869246,6
logistic,domain_balance,nll,25,[20260911],[20260911],6,12,0.0,6,3.5651887132899085,6,3.4117618454222414,6,0.1534268678676666,6,0.04921080566957937,6,0.0678570637959954,6,0.14682034088974624,6,0.7105703344869246,6
logistic,domain_balance,nll,50,[20260911],[20260911],6,12,0.05833333333333334,6,3.511409644211238,6,3.4117618454222414,6,0.09964779878899659,6,0.030455053316095593,6,0.04523827980251669,6,0.0949043997281012,6,0.7105703344869246,6
