encoder,projection_seed,target_domain,metric,ridge_logistic_top10_overlap
resnet50,20260918,painting,error_rate,0.8
resnet50,20260918,quickdraw,brier_score,0.3
resnet50,20260918,quickdraw,nll,0.3
resnet50,20260918,quickdraw,error_rate,0.4
resnet50,20260918,real,brier_score,0.9
resnet50,20260918,real,nll,0.7
resnet50,20260918,real,error_rate,0.6
resnet50,20260918,sketch,brier_score,0.7
resnet50,20260918,sketch,nll,0.3
resnet50,20260918,sketch,error_rate,0.6
dinov2_b14,20260918,clipart,brier_score,0.6
dinov2_b14,20260918,clipart,nll,0.4
dinov2_b14,20260918,clipart,error_rate,0.7
dinov2_b14,20260918,infograph,brier_score,0.6
dinov2_b14,20260918,infograph,nll,0.6
dinov2_b14,20260918,infograph,error_rate,0.6
dinov2_b14,20260918,painting,brier_score,0.7
dinov2_b14,20260918,painting,nll,0.4
dinov2_b14,20260918,painting,error_rate,0.6
dinov2_b14,20260918,quickdraw,brier_score,0.6
dinov2_b14,20260918,quickdraw,nll,0.4
dinov2_b14,20260918,quickdraw,error_rate,0.2
dinov2_b14,20260918,real,brier_score,0.9
dinov2_b14,20260918,real,nll,0.4
dinov2_b14,20260918,real,error_rate,0.6
dinov2_b14,20260918,sketch,brier_score,0.8
dinov2_b14,20260918,sketch,nll,0.5
dinov2_b14,20260918,sketch,error_rate,0.7
resnet50,20260919,clipart,brier_score,0.8
resnet50,20260919,clipart,nll,0.6
resnet50,20260919,clipart,error_rate,0.7
resnet50,20260919,infograph,brier_score,0.5
resnet50,20260919,infograph,nll,0.3
resnet50,20260919,infograph,error_rate,0.7
resnet50,20260919,painting,brier_score,0.9
resnet50,20260919,painting,nll,0.9
resnet50,20260919,painting,error_rate,0.9
resnet50,20260919,quickdraw,brier_score,0.2
resnet50,20260919,quickdraw,nll,0.4
resnet50,20260919,quickdraw,error_rate,0.4
resnet50,20260919,real,brier_score,0.9
resnet50,20260919,real,nll,0.6
resnet50,20260919,real,error_rate,0.7
resnet50,20260919,sketch,brier_score,0.8
resnet50,20260919,sketch,nll,0.4
resnet50,20260919,sketch,error_rate,0.4
dinov2_b14,20260919,clipart,brier_score,0.7
dinov2_b14,20260919,clipart,nll,0.4
dinov2_b14,20260919,clipart,error_rate,0.7
dinov2_b14,20260919,infograph,brier_score,0.4
dinov2_b14,20260919,infograph,nll,0.2
dinov2_b14,20260919,infograph,error_rate,0.5
dinov2_b14,20260919,painting,brier_score,0.7
dinov2_b14,20260919,painting,nll,0.3
dinov2_b14,20260919,painting,error_rate,0.8
dinov2_b14,20260919,quickdraw,brier_score,0.6
dinov2_b14,20260919,quickdraw,nll,0.6
dinov2_b14,20260919,quickdraw,error_rate,0.5
dinov2_b14,20260919,real,brier_score,0.8
dinov2_b14,20260919,real,nll,0.3
dinov2_b14,20260919,real,error_rate,0.7
dinov2_b14,20260919,sketch,brier_score,0.8
dinov2_b14,20260919,sketch,nll,0.5
dinov2_b14,20260919,sketch,error_rate,0.7
resnet50,20260920,clipart,brier_score,0.9
resnet50,20260920,clipart,nll,0.6
resnet50,20260920,clipart,error_rate,0.8
resnet50,20260920,infograph,brier_score,0.4
resnet50,20260920,infograph,nll,0.3
resnet50,20260920,infograph,error_rate,0.8
resnet50,20260920,painting,brier_score,0.8
resnet50,20260920,painting,nll,0.9
resnet50,20260920,painting,error_rate,0.9
resnet50,20260920,quickdraw,brier_score,0.2
resnet50,20260920,quickdraw,nll,0.2
resnet50,20260920,quickdraw,error_rate,0.3
resnet50,20260920,real,brier_score,0.8
resnet50,20260920,real,nll,0.6
resnet50,20260920,real,error_rate,0.6
resnet50,20260920,sketch,brier_score,0.9
resnet50,20260920,sketch,nll,0.3
resnet50,20260920,sketch,error_rate,0.8
dinov2_b14,20260920,clipart,brier_score,0.8
dinov2_b14,20260920,clipart,nll,0.4
dinov2_b14,20260920,clipart,error_rate,0.6
dinov2_b14,20260920,infograph,brier_score,0.5
dinov2_b14,20260920,infograph,nll,0.2
dinov2_b14,20260920,infograph,error_rate,0.4
dinov2_b14,20260920,painting,brier_score,0.8
dinov2_b14,20260920,painting,nll,0.3
dinov2_b14,20260920,painting,error_rate,0.6
dinov2_b14,20260920,quickdraw,brier_score,0.7
dinov2_b14,20260920,quickdraw,nll,0.6
dinov2_b14,20260920,quickdraw,error_rate,0.6
dinov2_b14,20260920,real,brier_score,0.8
dinov2_b14,20260920,real,nll,0.4
dinov2_b14,20260920,real,error_rate,0.7
dinov2_b14,20260920,sketch,brier_score,0.9
dinov2_b14,20260920,sketch,nll,0.5
dinov2_b14,20260920,sketch,error_rate,0.7
